"Id","Make","Fueltype","Numofdoors","Bodystyle","Drivewheels","enginelocation","Wheelbase","Length","Width","Height","Cylinders","Enginesize","Hp","city_mpg","hwy_mpg","price","symboling"
1,"alfa-romero","gas","two","convertible","rwd","front","[-Inf,90)","(158,175]",64.1,48.8,"four",130,111,"[18,22.3)",27,13495,3
2,"alfa-romero","gas","two","convertible","rwd","front","[-Inf,90)","(158,175]",64.1,48.8,"four",130,111,"[18,22.3)",27,16500,3
3,"alfa-romero","gas","two","hatchback","rwd","front","[90,100)","(158,175]",65.5,52.4,"six",152,154,"[18,22.3)",26,16500,1
4,"audi","gas","four","sedan","fwd","front","[90,100)","(175,191]",66.2,54.3,"four",109,102,"[22.3,27.6)",30,13950,2
5,"audi","gas","four","sedan","4wd","front","[90,100)","(175,191]",66.4,54.3,"five",136,115,"[13,18)",22,17450,2
6,"audi","gas","two","sedan","fwd","front","[90,100)","(175,191]",66.3,53.1,"five",136,110,"[18,22.3)",25,15250,2
7,"audi","gas","four","sedan","fwd","front","[100,110)","(191,208]",71.4,55.7,"five",136,110,"[18,22.3)",25,17710,1
8,"audi","gas","four","wagon","fwd","front","[100,110)","(191,208]",71.4,55.7,"five",136,110,"[18,22.3)",25,18920,1
9,"audi","gas","four","sedan","fwd","front","[100,110)","(191,208]",71.4,55.9,"five",131,140,"[13,18)",20,23875,1
10,"audi","gas","two","hatchback","4wd","front","[90,100)","(175,191]",67.9,52,"five",131,160,"[13,18)",22,13207.1293532338,0
11,"bmw","gas","two","sedan","rwd","front","[100,110)","(175,191]",64.8,54.3,"four",108,101,"[22.3,27.6)",29,16430,2
12,"bmw","gas","four","sedan","rwd","front","[100,110)","(175,191]",64.8,54.3,"four",108,101,"[22.3,27.6)",29,16925,0
13,"bmw","gas","two","sedan","rwd","front","[100,110)","(175,191]",64.8,54.3,"six",164,121,"[18,22.3)",28,20970,0
14,"bmw","gas","four","sedan","rwd","front","[100,110)","(175,191]",64.8,54.3,"six",164,121,"[18,22.3)",28,21105,0
15,"bmw","gas","four","sedan","rwd","front","[100,110)","(175,191]",66.9,55.7,"six",164,121,"[18,22.3)",25,24565,1
16,"bmw","gas","four","sedan","rwd","front","[100,110)","(175,191]",66.9,55.7,"six",209,182,"[13,18)",22,30760,0
17,"bmw","gas","two","sedan","rwd","front","[100,110)","(191,208]",67.9,53.7,"six",209,182,"[13,18)",22,41315,0
18,"bmw","gas","four","sedan","rwd","front","[110, Inf]","(191,208]",70.9,56.3,"six",209,182,"[13,18)",20,36880,0
19,"chevrolet","gas","two","hatchback","fwd","front","[-Inf,90)","(141,158]",60.3,53.2,"three",61,48,"[42,49]",53,5151,2
20,"chevrolet","gas","two","hatchback","fwd","front","[90,100)","(141,158]",63.6,52,"four",90,70,"[33.7,42)",43,6295,1
21,"chevrolet","gas","four","sedan","fwd","front","[90,100)","(158,175]",63.6,52,"four",90,70,"[33.7,42)",43,6575,0
22,"dodge","gas","two","hatchback","fwd","front","[90,100)","(141,158]",63.8,50.8,"four",90,68,"[33.7,42)",41,5572,1
23,"dodge","gas","two","hatchback","fwd","front","[90,100)","(141,158]",63.8,50.8,"four",90,68,"[27.6,33.7)",38,6377,1
24,"dodge","gas","two","hatchback","fwd","front","[90,100)","(141,158]",63.8,50.8,"four",98,102,"[22.3,27.6)",30,7957,1
25,"dodge","gas","four","hatchback","fwd","front","[90,100)","(141,158]",63.8,50.6,"four",90,68,"[27.6,33.7)",38,6229,1
26,"dodge","gas","four","sedan","fwd","front","[90,100)","(141,158]",63.8,50.6,"four",90,68,"[27.6,33.7)",38,6692,1
27,"dodge","gas","four","sedan","fwd","front","[90,100)","(141,158]",63.8,50.6,"four",90,68,"[27.6,33.7)",38,7609,1
28,"dodge","gas","","sedan","fwd","front","[90,100)","(141,158]",63.8,50.6,"four",98,102,"[22.3,27.6)",30,8558,1
29,"dodge","gas","four","wagon","fwd","front","[100,110)","(158,175]",64.6,59.8,"four",122,88,"[22.3,27.6)",30,8921,-1
30,"dodge","gas","two","hatchback","fwd","front","[90,100)","(158,175]",66.3,50.2,"four",156,145,"[18,22.3)",24,12964,3
31,"dodge","gas","two","hatchback","fwd","front","[-Inf,90)","(141,158]",63.9,50.8,"four",92,58,"[42,49]",54,6479,2
32,"honda","gas","two","hatchback","fwd","front","[-Inf,90)","(141,158]",63.9,50.8,"four",92,76,"[27.6,33.7)",38,6855,2
33,"honda","gas","two","hatchback","fwd","front","[90,100)","(141,158]",64,52.6,"four",79,60,"[33.7,42)",42,5399,1
34,"honda","gas","two","hatchback","fwd","front","[90,100)","(141,158]",64,52.6,"four",92,76,"[27.6,33.7)",34,6529,1
35,"honda","gas","two","hatchback","fwd","front","[90,100)","(141,158]",64,52.6,"four",92,76,"[27.6,33.7)",34,7129,1
36,"honda","gas","four","sedan","fwd","front","[90,100)","(158,175]",64,54.5,"four",92,76,"[27.6,33.7)",34,7295,0
37,"honda","gas","four","wagon","fwd","front","[90,100)","(141,158]",63.9,58.3,"four",92,76,"[27.6,33.7)",34,7295,0
38,"honda","gas","two","hatchback","fwd","front","[90,100)","(158,175]",65.2,53.3,"four",110,86,"[22.3,27.6)",33,7895,0
39,"honda","gas","two","hatchback","fwd","front","[90,100)","(158,175]",65.2,53.3,"four",110,86,"[22.3,27.6)",33,9095,0
40,"honda","gas","four","sedan","fwd","front","[90,100)","(175,191]",65.2,54.1,"four",110,86,"[22.3,27.6)",33,8845,0
41,"honda","gas","four","sedan","fwd","front","[90,100)","(175,191]",62.5,54.1,"four",110,86,"[22.3,27.6)",33,10295,0
42,"honda","gas","four","sedan","fwd","front","[90,100)","(175,191]",65.2,54.1,"four",110,101,"[22.3,27.6)",28,12945,0
43,"honda","gas","two","sedan","fwd","front","[90,100)","(158,175]",66,51,"four",110,100,"[22.3,27.6)",31,10345,1
44,"isuzu","gas","four","sedan","rwd","front","[90,100)","(158,175]",61.8,53.5,"four",111,78,"[22.3,27.6)",29,6785,0
45,"isuzu","gas","two","sedan","fwd","front","[90,100)","(141,158]",63.6,52,"four",90,70,"[33.7,42)",43,13207.1293532338,1
46,"isuzu","gas","four","sedan","fwd","front","[90,100)","(141,158]",63.6,52,"four",90,70,"[33.7,42)",43,13207.1293532338,0
47,"isuzu","gas","two","hatchback","rwd","front","[90,100)","(158,175]",65.2,51.4,"four",119,90,"[22.3,27.6)",29,11048,2
48,"jaguar","gas","four","sedan","rwd","front","[110, Inf]","(191,208]",69.6,52.8,"six",258,176,"[13,18)",19,32250,0
49,"jaguar","gas","four","sedan","rwd","front","[110, Inf]","(191,208]",69.6,52.8,"six",258,176,"[13,18)",19,35550,0
50,"jaguar","gas","two","sedan","rwd","front","[100,110)","(191,208]",70.6,47.8,"twelve",326,262,"[13,18)",17,36000,0
51,"mazda","gas","two","hatchback","fwd","front","[90,100)","(158,175]",64.2,54.1,"four",91,68,"[27.6,33.7)",31,5195,1
52,"mazda","gas","two","hatchback","fwd","front","[90,100)","(158,175]",64.2,54.1,"four",91,68,"[27.6,33.7)",38,6095,1
53,"mazda","gas","two","hatchback","fwd","front","[90,100)","(158,175]",64.2,54.1,"four",91,68,"[27.6,33.7)",38,6795,1
54,"mazda","gas","four","sedan","fwd","front","[90,100)","(158,175]",64.2,54.1,"four",91,68,"[27.6,33.7)",38,6695,1
55,"mazda","gas","four","sedan","fwd","front","[90,100)","(158,175]",64.2,54.1,"four",91,68,"[27.6,33.7)",38,7395,1
56,"mazda","gas","two","hatchback","rwd","front","[90,100)","(158,175]",65.7,49.6,"two",70,101,"[13,18)",23,10945,3
57,"mazda","gas","two","hatchback","rwd","front","[90,100)","(158,175]",65.7,49.6,"two",70,101,"[13,18)",23,11845,3
58,"mazda","gas","two","hatchback","rwd","front","[90,100)","(158,175]",65.7,49.6,"two",70,101,"[13,18)",23,13645,3
59,"mazda","gas","two","hatchback","rwd","front","[90,100)","(158,175]",65.7,49.6,"two",80,135,"[13,18)",23,15645,3
60,"mazda","gas","two","hatchback","fwd","front","[90,100)","(175,191]",66.5,53.7,"four",122,84,"[22.3,27.6)",32,8845,1
61,"mazda","gas","four","sedan","fwd","front","[90,100)","(175,191]",66.5,55.5,"four",122,84,"[22.3,27.6)",32,8495,0
62,"mazda","gas","two","hatchback","fwd","front","[90,100)","(175,191]",66.5,53.7,"four",122,84,"[22.3,27.6)",32,10595,1
63,"mazda","gas","four","sedan","fwd","front","[90,100)","(175,191]",66.5,55.5,"four",122,84,"[22.3,27.6)",32,10245,0
64,"mazda","diesel","","sedan","fwd","front","[90,100)","(175,191]",66.5,55.5,"four",122,64,"[33.7,42)",42,10795,0
65,"mazda","gas","four","hatchback","fwd","front","[90,100)","(175,191]",66.5,55.5,"four",122,84,"[22.3,27.6)",32,11245,0
66,"mazda","gas","four","sedan","rwd","front","[100,110)","(175,191]",66.1,54.4,"four",140,120,"[18,22.3)",27,18280,0
67,"mazda","diesel","four","sedan","rwd","front","[100,110)","(175,191]",66.1,54.4,"four",134,72,"[27.6,33.7)",39,18344,0
68,"mercedes-benz","diesel","four","sedan","rwd","front","[110, Inf]","(175,191]",70.3,56.5,"five",183,123,"[18,22.3)",25,25552,-1
69,"mercedes-benz","diesel","four","wagon","rwd","front","[110, Inf]","(175,191]",70.3,58.7,"five",183,123,"[18,22.3)",25,28248,-1
70,"mercedes-benz","diesel","two","hardtop","rwd","front","[100,110)","(175,191]",70.3,54.9,"five",183,123,"[18,22.3)",25,28176,0
71,"mercedes-benz","diesel","four","sedan","rwd","front","[110, Inf]","(191,208]",71.7,56.3,"five",183,123,"[18,22.3)",25,31600,-1
72,"mercedes-benz","gas","four","sedan","rwd","front","[110, Inf]","(191,208]",71.7,56.5,"eight",234,155,"[13,18)",18,34184,-1
73,"mercedes-benz","gas","two","convertible","rwd","front","[90,100)","(175,191]",70.5,50.8,"eight",234,155,"[13,18)",18,35056,3
74,"mercedes-benz","gas","four","sedan","rwd","front","[110, Inf]","(191,208]",71.7,56.7,"eight",308,184,"[13,18)",16,40960,0
75,"mercedes-benz","gas","two","hardtop","rwd","front","[110, Inf]","(191,208]",72,55.4,"eight",304,184,"[13,18)",16,45400,1
76,"mercury","gas","two","hatchback","rwd","front","[100,110)","(175,191]",68,54.8,"four",140,175,"[18,22.3)",24,16503,1
77,"mitsubishi","gas","two","hatchback","fwd","front","[90,100)","(141,158]",64.4,50.8,"four",92,68,"[33.7,42)",41,5389,2
78,"mitsubishi","gas","two","hatchback","fwd","front","[90,100)","(141,158]",64.4,50.8,"four",92,68,"[27.6,33.7)",38,6189,2
79,"mitsubishi","gas","two","hatchback","fwd","front","[90,100)","(141,158]",64.4,50.8,"four",92,68,"[27.6,33.7)",38,6669,2
80,"mitsubishi","gas","two","hatchback","fwd","front","[90,100)","(141,158]",63.8,50.8,"four",98,102,"[22.3,27.6)",30,7689,1
81,"mitsubishi","gas","two","hatchback","fwd","front","[90,100)","(158,175]",65.4,49.4,"four",110,116,"[22.3,27.6)",30,9959,3
82,"mitsubishi","gas","two","hatchback","fwd","front","[90,100)","(158,175]",65.4,49.4,"four",122,88,"[22.3,27.6)",32,8499,3
83,"mitsubishi","gas","two","hatchback","fwd","front","[90,100)","(158,175]",66.3,50.2,"four",156,145,"[18,22.3)",24,12629,3
84,"mitsubishi","gas","two","hatchback","fwd","front","[90,100)","(158,175]",66.3,50.2,"four",156,145,"[18,22.3)",24,14869,3
85,"mitsubishi","gas","two","hatchback","fwd","front","[90,100)","(158,175]",66.3,50.2,"four",156,145,"[18,22.3)",24,14489,3
86,"mitsubishi","gas","four","sedan","fwd","front","[90,100)","(158,175]",65.4,51.6,"four",122,88,"[22.3,27.6)",32,6989,1
87,"mitsubishi","gas","four","sedan","fwd","front","[90,100)","(158,175]",65.4,51.6,"four",122,88,"[22.3,27.6)",32,8189,1
88,"mitsubishi","gas","four","sedan","fwd","front","[90,100)","(158,175]",65.4,51.6,"four",110,116,"[22.3,27.6)",30,9279,1
89,"mitsubishi","gas","four","sedan","fwd","front","[90,100)","(158,175]",65.4,51.6,"four",110,116,"[22.3,27.6)",30,9279,-1
90,"nissan","gas","two","sedan","fwd","front","[90,100)","(158,175]",63.8,54.5,"four",97,69,"[27.6,33.7)",37,5499,1
91,"nissan","diesel","two","sedan","fwd","front","[90,100)","(158,175]",63.8,54.5,"four",103,55,"[42,49]",50,7099,1
92,"nissan","gas","two","sedan","fwd","front","[90,100)","(158,175]",63.8,54.5,"four",97,69,"[27.6,33.7)",37,6649,1
93,"nissan","gas","four","sedan","fwd","front","[90,100)","(158,175]",63.8,54.5,"four",97,69,"[27.6,33.7)",37,6849,1
94,"nissan","gas","four","wagon","fwd","front","[90,100)","(158,175]",63.8,53.5,"four",97,69,"[27.6,33.7)",37,7349,1
95,"nissan","gas","two","sedan","fwd","front","[90,100)","(158,175]",63.8,54.5,"four",97,69,"[27.6,33.7)",37,7299,1
96,"nissan","gas","two","hatchback","fwd","front","[90,100)","(158,175]",63.8,53.3,"four",97,69,"[27.6,33.7)",37,7799,1
97,"nissan","gas","four","sedan","fwd","front","[90,100)","(158,175]",63.8,54.5,"four",97,69,"[27.6,33.7)",37,7499,1
98,"nissan","gas","four","wagon","fwd","front","[90,100)","(158,175]",63.8,53.5,"four",97,69,"[27.6,33.7)",37,7999,1
99,"nissan","gas","two","hardtop","fwd","front","[90,100)","(158,175]",63.8,53.3,"four",97,69,"[27.6,33.7)",37,8249,2
100,"nissan","gas","four","hatchback","fwd","front","[90,100)","(158,175]",65.2,54.7,"four",120,97,"[22.3,27.6)",34,8949,0
101,"nissan","gas","four","sedan","fwd","front","[90,100)","(158,175]",65.2,54.7,"four",120,97,"[22.3,27.6)",34,9549,0
102,"nissan","gas","four","sedan","fwd","front","[100,110)","(175,191]",66.5,55.1,"six",181,152,"[13,18)",22,13499,0
103,"nissan","gas","four","wagon","fwd","front","[100,110)","(175,191]",66.5,56.1,"six",181,152,"[13,18)",22,14399,0
104,"nissan","gas","four","sedan","fwd","front","[100,110)","(175,191]",66.5,55.1,"six",181,152,"[18,22.3)",25,13499,0
105,"nissan","gas","two","hatchback","rwd","front","[90,100)","(158,175]",67.9,49.7,"six",181,160,"[18,22.3)",25,17199,3
106,"nissan","gas","two","hatchback","rwd","front","[90,100)","(158,175]",67.9,49.7,"six",181,200,"[13,18)",23,19699,3
107,"nissan","gas","two","hatchback","rwd","front","[90,100)","(175,191]",67.9,49.7,"six",181,160,"[18,22.3)",25,18399,1
108,"peugot","gas","four","sedan","rwd","front","[100,110)","(175,191]",68.4,56.7,"four",120,97,"[18,22.3)",24,11900,0
109,"peugot","diesel","four","sedan","rwd","front","[100,110)","(175,191]",68.4,56.7,"four",152,95,"[27.6,33.7)",33,13200,0
110,"peugot","gas","four","wagon","rwd","front","[110, Inf]","(191,208]",68.4,58.7,"four",120,97,"[18,22.3)",24,12440,0
111,"peugot","diesel","four","wagon","rwd","front","[110, Inf]","(191,208]",68.4,58.7,"four",152,95,"[22.3,27.6)",25,13860,0
112,"peugot","gas","four","sedan","rwd","front","[100,110)","(175,191]",68.4,56.7,"four",120,95,"[18,22.3)",24,15580,0
113,"peugot","diesel","four","sedan","rwd","front","[100,110)","(175,191]",68.4,56.7,"four",152,95,"[27.6,33.7)",33,16900,0
114,"peugot","gas","four","wagon","rwd","front","[110, Inf]","(191,208]",68.4,56.7,"four",120,95,"[18,22.3)",24,16695,0
115,"peugot","diesel","four","wagon","rwd","front","[110, Inf]","(191,208]",68.4,58.7,"four",152,95,"[22.3,27.6)",25,17075,0
116,"peugot","gas","four","sedan","rwd","front","[100,110)","(175,191]",68.4,56.7,"four",120,97,"[18,22.3)",24,16630,0
117,"peugot","diesel","four","sedan","rwd","front","[100,110)","(175,191]",68.4,56.7,"four",152,95,"[27.6,33.7)",33,17950,0
118,"peugot","gas","four","sedan","rwd","front","[100,110)","(175,191]",68.3,56,"four",134,142,"[13,18)",24,18150,0
119,"plymouth","gas","two","hatchback","fwd","front","[90,100)","(141,158]",63.8,50.8,"four",90,68,"[33.7,42)",41,5572,1
120,"plymouth","gas","two","hatchback","fwd","front","[90,100)","(141,158]",63.8,50.8,"four",98,102,"[22.3,27.6)",30,7957,1
121,"plymouth","gas","four","hatchback","fwd","front","[90,100)","(141,158]",63.8,50.6,"four",90,68,"[27.6,33.7)",38,6229,1
122,"plymouth","gas","four","sedan","fwd","front","[90,100)","(158,175]",63.8,50.8,"four",90,68,"[27.6,33.7)",38,6692,1
123,"plymouth","gas","four","sedan","fwd","front","[90,100)","(158,175]",63.8,50.8,"four",98,68,"[27.6,33.7)",38,7609,1
124,"plymouth","gas","four","wagon","fwd","front","[100,110)","(158,175]",64.6,59.8,"four",122,88,"[22.3,27.6)",30,8921,-1
125,"plymouth","gas","two","hatchback","rwd","front","[90,100)","(158,175]",66.3,50.2,"four",156,145,"[18,22.3)",24,12764,3
126,"porsche","gas","two","hatchback","rwd","front","[90,100)","(158,175]",68.3,50.2,"four",151,143,"[18,22.3)",27,22018,3
127,"porsche","gas","two","hardtop","rwd","rear","[-Inf,90)","(158,175]",65,51.6,"six",194,207,"[13,18)",25,32528,3
128,"porsche","gas","two","hardtop","rwd","rear","[-Inf,90)","(158,175]",65,51.6,"six",194,207,"[13,18)",25,34028,3
129,"porsche","gas","two","convertible","rwd","rear","[-Inf,90)","(158,175]",65,51.6,"six",194,207,"[13,18)",25,37028,3
130,"porsche","gas","two","hatchback","rwd","front","[90,100)","(175,191]",72.3,50.5,"eight",203,288,"[13,18)",28,13207.1293532338,1
131,"renault","gas","four","wagon","fwd","front","[90,100)","(175,191]",66.5,55.2,"four",132,104.256157635468,"[22.3,27.6)",31,9295,0
132,"renault","gas","two","hatchback","fwd","front","[90,100)","(175,191]",66.6,50.5,"four",132,104.256157635468,"[22.3,27.6)",31,9895,2
133,"saab","gas","two","hatchback","fwd","front","[90,100)","(175,191]",66.5,56.1,"four",121,110,"[18,22.3)",28,11850,3
134,"saab","gas","four","sedan","fwd","front","[90,100)","(175,191]",66.5,56.1,"four",121,110,"[18,22.3)",28,12170,2
135,"saab","gas","two","hatchback","fwd","front","[90,100)","(175,191]",66.5,56.1,"four",121,110,"[18,22.3)",28,15040,3
136,"saab","gas","four","sedan","fwd","front","[90,100)","(175,191]",66.5,56.1,"four",121,110,"[18,22.3)",28,15510,2
137,"saab","gas","two","hatchback","fwd","front","[90,100)","(175,191]",66.5,56.1,"four",121,160,"[18,22.3)",26,18150,3
138,"saab","gas","four","sedan","fwd","front","[90,100)","(175,191]",66.5,56.1,"four",121,160,"[18,22.3)",26,18620,2
139,"subaru","gas","two","hatchback","fwd","front","[90,100)","(141,158]",63.4,53.7,"four",97,69,"[27.6,33.7)",36,5118,2
140,"subaru","gas","two","hatchback","fwd","front","[90,100)","(158,175]",63.6,53.7,"four",108,73,"[22.3,27.6)",31,7053,2
141,"subaru","gas","two","hatchback","4wd","front","[90,100)","(141,158]",63.8,55.7,"four",108,73,"[22.3,27.6)",31,7603,2
142,"subaru","gas","four","sedan","fwd","front","[90,100)","(158,175]",65.4,52.5,"four",108,82,"[27.6,33.7)",37,7126,0
143,"subaru","gas","four","sedan","fwd","front","[90,100)","(158,175]",65.4,52.5,"four",108,82,"[27.6,33.7)",33,7775,0
144,"subaru","gas","four","sedan","fwd","front","[90,100)","(158,175]",65.4,52.5,"four",108,94,"[22.3,27.6)",32,9960,0
145,"subaru","gas","four","sedan","4wd","front","[90,100)","(158,175]",65.4,54.3,"four",108,82,"[22.3,27.6)",25,9233,0
146,"subaru","gas","four","sedan","4wd","front","[90,100)","(158,175]",65.4,54.3,"four",108,111,"[22.3,27.6)",29,11259,0
147,"subaru","gas","four","wagon","fwd","front","[90,100)","(158,175]",65.4,53,"four",108,82,"[27.6,33.7)",32,7463,0
148,"subaru","gas","four","wagon","fwd","front","[90,100)","(158,175]",65.4,53,"four",108,94,"[22.3,27.6)",31,10198,0
149,"subaru","gas","four","wagon","4wd","front","[90,100)","(158,175]",65.4,54.9,"four",108,82,"[22.3,27.6)",29,8013,0
150,"subaru","gas","four","wagon","4wd","front","[90,100)","(158,175]",65.4,54.9,"four",108,111,"[22.3,27.6)",23,11694,0
151,"toyota","gas","two","hatchback","fwd","front","[90,100)","(158,175]",63.6,54.5,"four",92,62,"[33.7,42)",39,5348,1
152,"toyota","gas","two","hatchback","fwd","front","[90,100)","(158,175]",63.6,54.5,"four",92,62,"[27.6,33.7)",38,6338,1
153,"toyota","gas","four","hatchback","fwd","front","[90,100)","(158,175]",63.6,54.5,"four",92,62,"[27.6,33.7)",38,6488,1
154,"toyota","gas","four","wagon","fwd","front","[90,100)","(158,175]",63.6,59.1,"four",92,62,"[27.6,33.7)",37,6918,0
155,"toyota","gas","four","wagon","4wd","front","[90,100)","(158,175]",63.6,59.1,"four",92,62,"[22.3,27.6)",32,7898,0
156,"toyota","gas","four","wagon","4wd","front","[90,100)","(158,175]",63.6,59.1,"four",92,62,"[22.3,27.6)",32,8778,0
157,"toyota","gas","four","sedan","fwd","front","[90,100)","(158,175]",64.4,53,"four",98,70,"[27.6,33.7)",37,6938,0
158,"toyota","gas","four","hatchback","fwd","front","[90,100)","(158,175]",64.4,52.8,"four",98,70,"[27.6,33.7)",37,7198,0
159,"toyota","diesel","four","sedan","fwd","front","[90,100)","(158,175]",64.4,53,"four",110,56,"[33.7,42)",36,7898,0
160,"toyota","diesel","four","hatchback","fwd","front","[90,100)","(158,175]",64.4,52.8,"four",110,56,"[33.7,42)",47,7788,0
161,"toyota","gas","four","sedan","fwd","front","[90,100)","(158,175]",64.4,53,"four",98,70,"[33.7,42)",47,7738,0
162,"toyota","gas","four","hatchback","fwd","front","[90,100)","(158,175]",64.4,52.8,"four",98,70,"[27.6,33.7)",34,8358,0
163,"toyota","gas","four","sedan","fwd","front","[90,100)","(158,175]",64.4,52.8,"four",98,70,"[27.6,33.7)",34,9258,0
164,"toyota","gas","two","sedan","rwd","front","[90,100)","(158,175]",64,52.6,"four",98,70,"[27.6,33.7)",34,8058,1
165,"toyota","gas","two","hatchback","rwd","front","[90,100)","(158,175]",64,52.6,"four",98,70,"[27.6,33.7)",34,8238,1
166,"toyota","gas","two","sedan","rwd","front","[90,100)","(158,175]",64,52.6,"four",98,112,"[22.3,27.6)",29,9298,1
167,"toyota","gas","two","hatchback","rwd","front","[90,100)","(158,175]",64,52.6,"four",98,112,"[22.3,27.6)",29,9538,1
168,"toyota","gas","two","hardtop","rwd","front","[90,100)","(175,191]",65.6,52,"four",146,116,"[22.3,27.6)",30,8449,2
169,"toyota","gas","two","hardtop","rwd","front","[90,100)","(175,191]",65.6,52,"four",146,116,"[22.3,27.6)",30,9639,2
170,"toyota","gas","two","hatchback","rwd","front","[90,100)","(175,191]",65.6,52,"four",146,116,"[22.3,27.6)",30,9989,2
171,"toyota","gas","two","hardtop","rwd","front","[90,100)","(175,191]",65.6,52,"four",146,116,"[22.3,27.6)",30,11199,2
172,"toyota","gas","two","hatchback","rwd","front","[90,100)","(175,191]",65.6,52,"four",146,116,"[22.3,27.6)",30,11549,2
173,"toyota","gas","two","convertible","rwd","front","[90,100)","(175,191]",65.6,53,"four",146,116,"[22.3,27.6)",30,17669,2
174,"toyota","gas","four","sedan","fwd","front","[100,110)","(175,191]",66.5,54.9,"four",122,92,"[27.6,33.7)",34,8948,-1
175,"toyota","diesel","four","sedan","fwd","front","[100,110)","(175,191]",66.5,54.9,"four",110,73,"[27.6,33.7)",33,10698,-1
176,"toyota","gas","four","hatchback","fwd","front","[100,110)","(175,191]",66.5,53.9,"four",122,92,"[22.3,27.6)",32,9988,-1
177,"toyota","gas","four","sedan","fwd","front","[100,110)","(175,191]",66.5,54.9,"four",122,92,"[22.3,27.6)",32,10898,-1
178,"toyota","gas","four","hatchback","fwd","front","[100,110)","(175,191]",66.5,53.9,"four",122,92,"[22.3,27.6)",32,11248,-1
179,"toyota","gas","two","hatchback","rwd","front","[100,110)","(175,191]",67.7,52,"six",171,161,"[18,22.3)",24,16558,3
180,"toyota","gas","two","hatchback","rwd","front","[100,110)","(175,191]",67.7,52,"six",171,161,"[18,22.3)",24,15998,3
181,"toyota","gas","four","sedan","rwd","front","[100,110)","(175,191]",66.5,54.1,"six",171,156,"[18,22.3)",24,15690,-1
182,"toyota","gas","four","wagon","rwd","front","[100,110)","(175,191]",66.5,54.1,"six",161,156,"[18,22.3)",24,15750,-1
183,"volkswagen","diesel","two","sedan","fwd","front","[90,100)","(158,175]",65.5,55.7,"four",97,52,"[33.7,42)",46,7775,2
184,"volkswagen","gas","two","sedan","fwd","front","[90,100)","(158,175]",65.5,55.7,"four",109,85,"[22.3,27.6)",34,7975,2
185,"volkswagen","diesel","four","sedan","fwd","front","[90,100)","(158,175]",65.5,55.7,"four",97,52,"[33.7,42)",46,7995,2
186,"volkswagen","gas","four","sedan","fwd","front","[90,100)","(158,175]",65.5,55.7,"four",109,85,"[22.3,27.6)",34,8195,2
187,"volkswagen","gas","four","sedan","fwd","front","[90,100)","(158,175]",65.5,55.7,"four",109,85,"[22.3,27.6)",34,8495,2
188,"volkswagen","diesel","four","sedan","fwd","front","[90,100)","(158,175]",65.5,55.7,"four",97,68,"[33.7,42)",42,9495,2
189,"volkswagen","gas","four","sedan","fwd","front","[90,100)","(158,175]",65.5,55.7,"four",109,100,"[22.3,27.6)",32,9995,2
190,"volkswagen","gas","two","convertible","fwd","front","[90,100)","(158,175]",64.2,55.6,"four",109,90,"[22.3,27.6)",29,11595,3
191,"volkswagen","gas","two","hatchback","fwd","front","[90,100)","(158,175]",64,51.4,"four",109,90,"[22.3,27.6)",29,9980,3
192,"volkswagen","gas","four","sedan","fwd","front","[100,110)","(175,191]",66.9,55.1,"five",136,110,"[18,22.3)",24,13295,0
193,"volkswagen","diesel","four","sedan","fwd","front","[100,110)","(175,191]",66.9,55.1,"four",97,68,"[27.6,33.7)",38,13845,0
194,"volkswagen","gas","four","wagon","fwd","front","[100,110)","(175,191]",66.9,55.1,"four",109,88,"[22.3,27.6)",31,12290,0
195,"volvo","gas","four","sedan","rwd","front","[100,110)","(175,191]",67.2,56.2,"four",141,114,"[22.3,27.6)",28,12940,-2
196,"volvo","gas","four","wagon","rwd","front","[100,110)","(175,191]",67.2,57.5,"four",141,114,"[22.3,27.6)",28,13415,-1
197,"volvo","gas","four","sedan","rwd","front","[100,110)","(175,191]",67.2,56.2,"four",141,114,"[22.3,27.6)",28,15985,-2
198,"volvo","gas","four","wagon","rwd","front","[100,110)","(175,191]",67.2,57.5,"four",141,114,"[22.3,27.6)",28,16515,-1
199,"volvo","gas","four","sedan","rwd","front","[100,110)","(175,191]",67.2,56.2,"four",130,162,"[13,18)",22,18420,-2
200,"volvo","gas","four","wagon","rwd","front","[100,110)","(175,191]",67.2,57.5,"four",130,162,"[13,18)",22,18950,-1
201,"volvo","gas","four","sedan","rwd","front","[100,110)","(175,191]",68.9,55.5,"four",141,114,"[22.3,27.6)",28,16845,-1
202,"volvo","gas","four","sedan","rwd","front","[100,110)","(175,191]",68.8,55.5,"four",141,160,"[18,22.3)",25,19045,-1
203,"volvo","gas","four","sedan","rwd","front","[100,110)","(175,191]",68.9,55.5,"six",173,134,"[13,18)",23,21485,-1
204,"volvo","diesel","four","sedan","rwd","front","[100,110)","(175,191]",68.9,55.5,"six",145,106,"[22.3,27.6)",27,22470,-1
205,"volvo","gas","four","sedan","rwd","front","[100,110)","(175,191]",68.9,55.5,"four",141,114,"[18,22.3)",25,22625,-1
